filename,label
fake\fake_0.jpg,1
fake\fake_1.jpg,1
fake\fake_10.jpg,1
fake\fake_100.jpg,1
fake\fake_1000.jpg,1
fake\fake_1001.jpg,1
fake\fake_1002.jpg,1
fake\fake_1003.jpg,1
fake\fake_1004.jpg,1
fake\fake_1005.jpg,1
fake\fake_1006.jpg,1
fake\fake_1007.jpg,1
fake\fake_1008.jpg,1
fake\fake_1009.jpg,1
fake\fake_101.jpg,1
fake\fake_1010.jpg,1
fake\fake_1011.jpg,1
fake\fake_1012.jpg,1
fake\fake_1013.jpg,1
fake\fake_1014.jpg,1
fake\fake_1015.jpg,1
fake\fake_1016.jpg,1
fake\fake_1017.jpg,1
fake\fake_1018.jpg,1
fake\fake_1019.jpg,1
fake\fake_102.jpg,1
fake\fake_1020.jpg,1
fake\fake_1021.jpg,1
fake\fake_1022.jpg,1
fake\fake_1023.jpg,1
fake\fake_1024.jpg,1
fake\fake_1025.jpg,1
fake\fake_1026.jpg,1
fake\fake_1027.jpg,1
fake\fake_1028.jpg,1
fake\fake_1029.jpg,1
fake\fake_103.jpg,1
fake\fake_1030.jpg,1
fake\fake_1031.jpg,1
fake\fake_1032.jpg,1
fake\fake_1033.jpg,1
fake\fake_1034.jpg,1
fake\fake_1035.jpg,1
fake\fake_1036.jpg,1
fake\fake_1037.jpg,1
fake\fake_1038.jpg,1
fake\fake_1039.jpg,1
fake\fake_104.jpg,1
fake\fake_1040.jpg,1
fake\fake_1041.jpg,1
fake\fake_1042.jpg,1
fake\fake_1043.jpg,1
fake\fake_1044.jpg,1
fake\fake_1045.jpg,1
fake\fake_1046.jpg,1
fake\fake_1047.jpg,1
fake\fake_1048.jpg,1
fake\fake_1049.jpg,1
fake\fake_105.jpg,1
fake\fake_1050.jpg,1
fake\fake_1051.jpg,1
fake\fake_1052.jpg,1
fake\fake_1053.jpg,1
fake\fake_1054.jpg,1
fake\fake_1055.jpg,1
fake\fake_1056.jpg,1
fake\fake_1057.jpg,1
fake\fake_1058.jpg,1
fake\fake_1059.jpg,1
fake\fake_106.jpg,1
fake\fake_1060.jpg,1
fake\fake_1061.jpg,1
fake\fake_1062.jpg,1
fake\fake_1063.jpg,1
fake\fake_1064.jpg,1
fake\fake_1065.jpg,1
fake\fake_1066.jpg,1
fake\fake_1067.jpg,1
fake\fake_1068.jpg,1
fake\fake_1069.jpg,1
fake\fake_107.jpg,1
fake\fake_1070.jpg,1
fake\fake_1071.jpg,1
fake\fake_1072.jpg,1
fake\fake_1073.jpg,1
fake\fake_1074.jpg,1
fake\fake_1075.jpg,1
fake\fake_1076.jpg,1
fake\fake_1077.jpg,1
fake\fake_1078.jpg,1
fake\fake_1079.jpg,1
fake\fake_108.jpg,1
fake\fake_1080.jpg,1
fake\fake_1081.jpg,1
fake\fake_1082.jpg,1
fake\fake_1083.jpg,1
fake\fake_1084.jpg,1
fake\fake_1085.jpg,1
fake\fake_1086.jpg,1
fake\fake_1087.jpg,1
fake\fake_1088.jpg,1
fake\fake_1089.jpg,1
fake\fake_109.jpg,1
fake\fake_1090.jpg,1
fake\fake_1091.jpg,1
fake\fake_1092.jpg,1
fake\fake_1093.jpg,1
